sampleID,labID,analysisDate,fractionAnalyzed,type,value,unit,aggregation,qualityFlag,accessToPublic,accessToAllOrg,accessToSelf,accessToPHAC,accessToLocalHA,accessToProvHA,accessToOtherProv,accessToDetails
NA,Ottawa-1,2020-07-25,solid,covN2,4.16E-05,gcPMMoV,sdNr,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NA,Ottawa-1,2020-07-25,solid,nPPMoV,27.76,Ct,mean,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NA,Ottawa-1,2020-07-29,solid,covN1,0.00013717,gcPMMoV,meanNr,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NA,Ottawa-1,2020-07-29,solid,covN1,3.45E-05,gcPMMoV,sdNr,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NA,Ottawa-1,2020-07-29,solid,covN2,8.79E-05,gcPMMoV,meanNr,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NA,Ottawa-1,2020-07-29,solid,covN2,3.36E-05,gcPMMoV,sdNr,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NA,Ottawa-1,2020-07-29,solid,nPPMoV,26.84,Ct,mean,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NA,Ottawa-1,2020-07-31,solid,covN1,6.98E-05,gcPMMoV,meanNr,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NA,Ottawa-1,2020-07-31,solid,covN1,1.78E-05,gcPMMoV,sdNr,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NA,Ottawa-1,2020-07-31,solid,covN2,0.000107351,gcPMMoV,meanNr,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NA,Ottawa-1,2020-07-31,solid,covN2,1.21E-06,gcPMMoV,sdNr,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NA,Ottawa-1,2020-07-31,solid,nPPMoV,26.6,Ct,mean,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NA,Ottawa-1,2020-08-04,solid,covN1,0.000121034,gcPMMoV,meanNr,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NA,Ottawa-1,2020-08-04,solid,covN1,2.74E-05,gcPMMoV,sdNr,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NA,Ottawa-1,2020-08-04,solid,covN2,0.000210386,gcPMMoV,meanNr,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NA,Ottawa-1,2020-08-04,solid,covN2,1.51E-05,gcPMMoV,sdNr,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
